 ,Distance [nm],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
1,0.000000000,3152.833077798,2.725244302,18.181840163,1765.771230844,7369.995896559,10895.609121469,21548.646103786,6418.294180063,6074.661259578,9491.192549485,27190.798753005,2080.858187162,458.678419700,4147.125537579,890.577794002,5391.154671302,12338.143758921,11082.161128117,19069.229003906,5481.601759397,3271.893829346,38189.834510216,39024.298330454,3240.026902419,18782.705115685,538.245025635,14923.326669546,46383.150841346,353.547369150,11108.001940801,10488.958852915,32254.607417767,19579.059194712,9278.421034593,4840.387824425,25203.959472656,30493.986647386,1361.336791992,8253.013822115,12584.376953125,15323.762488732,21911.740314190,12326.579200158,2190.052456782,8921.311218262,6817.161677434,10555.382981520,27538.020001191,29079.927847055,36406.462201632,3326.964075529,3754.232897832,7624.578913762,15592.078495906,7567.814673791,1125.586824857,2935.815561001,3928.681618324,26132.606952374,20619.182335487,6205.361389160,19566.031879132,6291.704676701,9723.225299542,997.264481765,11100.985762376,11356.820720966,4039.674435909,3440.128795917,16865.685448280,7443.370405931,1700.741418985,1426.910517766,5281.849536602,4809.927748460,11610.867300180,1670.226637620,8683.216968830,11473.336068960,13721.733567458,3320.499821590,5173.784050575,38526.420673077,10441.324049730,40300.419653086,18157.388937143,1290.509705764,6404.380070613,1124.766986553,19629.483990009,11335.957106370,19387.134909116,22812.390286959,29973.945105919,31003.243596004,10002.326519306,14514.754788912,2299.606088492,3358.133910546,22108.116980919,23089.006416027,0.000000000,3586.936532828,6624.168034480,16444.901225163,4773.205622160,856.615925862,2551.675741342,10309.544639587,7162.189528245,4918.396044108,22591.666841947
2,0.015651500,1875.352358103,428.523842445,0.149835477,1064.644008930,11718.680354192,6975.136568510,17461.612135667,3216.159265371,8186.986337515,1853.154045692,27858.971604567,2030.291982797,916.793404212,3602.490065941,282.554914034,7710.689305232,14491.992863582,6452.908666757,16119.035729041,5726.700715138,2227.333949162,37690.236328125,36361.254946195,3048.233774038,21714.045823317,244.025431706,13947.745530349,43821.926832933,985.185856526,12288.504695012,4560.802055946,27529.768103966,19225.446645883,9718.316655086,7218.253971980,26431.412409856,31474.649667593,2107.221780630,10776.198739859,10435.530846229,14362.703350361,24788.419978215,13463.386221079,1749.519081703,6031.178396372,2883.776932936,14664.183387169,25398.486515925,25035.227191632,35632.078556941,4468.883032579,3482.407902644,10338.814758301,8328.626567254,12124.243112417,285.447591928,2295.475677490,5038.965238131,23247.809110201,18817.157322810,6172.476569543,18166.552851750,5556.373647837,8440.618904187,406.953639104,15781.209720318,19071.590002794,3164.436354417,2618.654096750,19854.817570613,11626.775296725,2721.589442033,1550.561717694,8238.088773287,3352.077364408,10419.084867037,2305.347167969,5570.333431537,7735.217289851,18330.642210740,2067.509623381,5474.982168344,37598.229198749,5095.767890343,37338.447927622,17600.569002885,3921.804490309,7016.618389423,176.204235664,19619.744506836,7409.292499249,23192.649916429,19744.083669809,29653.821724525,30783.020667443,8105.869304950,14166.922701322,3565.259134146,4011.108060397,20265.455866887,20007.268345759,0.000000000,2442.318378155,8593.022596506,13643.901741615,9261.064405001,906.827245859,3331.935300387,20029.263634902,8220.829073392,9183.109830416,25177.190157377
3,0.031303000,2429.906046721,531.250431941,564.284586980,879.560941256,9772.439807598,3102.989520733,18929.613272153,7706.553972765,13282.772949219,3275.113027132,7103.183819111,3423.038350032,18417.026172345,2749.242246188,184.787051861,9172.541081355,13305.203605358,3615.104826707,11003.815211369,12656.828186035,11397.099395752,31406.710749700,32294.938232422,1408.534142127,7580.421824529,0.000000000,13145.761136569,10879.694927509,15455.061364981,1420.221468412,1163.732299805,17243.355712891,67.844881498,9853.475668779,10821.921911386,25872.859412560,29845.682767428,10629.271162767,1810.555997408,0.000000000,47.834384515,26654.789860652,0.000000000,651.443468424,182.486702552,455.023187491,1122.465536264,21984.966881385,25724.627211204,37432.834613507,6055.799060528,6416.751344828,0.000000000,3932.296463600,1019.783902682,0.000000000,2138.762405542,15031.195941632,19136.813137128,17325.593937800,0.000000000,1698.723098902,224.578425481,0.000000000,1644.980689416,25145.073317308,1606.847534180,2161.554725060,4129.803889055,19192.521916316,978.594238575,4932.454737957,6825.130142212,7612.972449669,2657.783672626,11378.208965595,0.000000000,3439.032573993,3690.218874418,16867.441871056,1708.605832613,34178.237980769,37750.794799805,1265.775902381,39700.084735577,13418.748798077,0.000000000,0.000000000,13231.782142052,20348.576434796,1134.197262104,24845.269625150,17302.917262004,18867.073021522,22385.934907620,12398.556387094,8322.076444186,4726.617228687,4969.111345144,16251.407951942,23591.412800129,3311.219811073,1202.010620117,332.365365835,913.362893912,10888.771023090,1044.931646494,4243.404735859,6540.857419527,6161.972585825,108.843130258,23369.433659480
4,0.046954501,552.601584801,13986.828416091,587.428598257,12260.618088942,8275.414710412,548.881054218,12695.034653884,1538.346745564,8227.987417368,0.000000000,7729.322344853,5060.440232497,3329.653639573,3061.828716572,30.800661527,9391.260123033,13024.686545024,2857.847567191,7812.457114586,9329.961101770,10943.141851572,43305.931161734,16746.606342022,2422.837615967,5231.303354117,0.000000000,12042.185902522,8893.276405921,2557.910279861,1270.897386991,4084.688213642,20045.390268179,135.584003155,16290.196702224,14705.396259014,23493.301851713,24392.733774038,7651.175640400,11946.260751578,7065.380574153,10840.473165659,26179.995004507,167.044381949,12.278913058,0.000000000,0.000000000,4225.398569766,18092.666508601,21184.585689545,39245.180138221,5178.060640775,4650.697152945,0.000000000,2368.458933317,1776.138354962,8.050807293,2362.414081280,6281.912931186,19880.248740563,16425.719576322,10326.587261493,197.332711032,6179.458909255,5076.541156475,4243.731248122,24550.210280198,626.727891188,1478.443514310,1553.170290433,19062.205801964,9211.455221323,8622.038062462,2208.597909781,9640.731156569,68.550602840,4628.417283278,0.000000000,2596.410160945,3137.211824857,3927.806096590,2768.469491812,7920.060237004,37326.400151179,137.124793419,21750.622075008,8179.104642428,308.699605502,12006.453200120,98.397840060,20413.418043870,1582.680316632,25811.945699838,15879.676203801,8772.957874592,24852.892075172,8605.513090867,16317.017155574,774.997624324,6148.656508226,13095.504248986,20082.992868277,9435.738609901,261.619357182,8.448687627,6980.641072053,9810.403325008,3833.395247239,4600.770106389,15337.615685096,3846.687289898,827.576415722,18458.590332031
5,0.062606001,3156.984515850,5582.160319402,1054.444565993,886.410846417,15363.826660156,139.050774794,17990.702397273,10868.398371770,3596.657724821,0.000000000,6156.020394252,9309.525287335,169.186901386,4703.397336520,0.000000000,9026.950458233,13821.303147536,3165.824670058,5109.234012310,5629.435112880,1580.410309425,32163.265582451,16446.322114504,2445.443549523,3307.040414663,0.000000000,10367.418515866,10047.352809026,5152.289151705,5877.203161386,0.000000000,8241.251207792,39.275101882,10088.926339956,12673.329683707,20127.201293945,47179.972524790,11669.304800180,2039.791384770,0.000000000,0.000000000,45385.773587740,1160.290640024,0.000000000,0.000000000,3470.783916767,10553.633305476,20693.027296800,23416.198805589,49528.361966647,4654.041874519,4768.105572040,0.000000000,2294.407466008,2073.272182758,1059.468854171,3277.862639207,7906.404471764,49843.106107272,15776.291414701,17.493068108,0.000000000,4142.284780649,0.000000000,284.122566810,41052.447190505,18519.759798050,1372.893897423,1344.637084961,16570.593450106,5102.018014761,12737.470044650,3845.824284480,8107.343069223,375.563504733,12061.803086501,0.000000000,2488.009357159,3637.353745681,114.957547701,5606.430307242,8549.911033410,54734.253079928,277.460834356,15778.005089393,4811.963540884,1602.223981417,0.053954138,11282.352285532,20259.227410537,81.336823977,26029.689509465,16248.517913818,23481.229116587,28311.121938852,10215.015894963,12402.158954327,5923.841712365,7538.295461801,12352.746441181,12070.142093365,9873.058706430,0.000000000,0.000000000,9298.064749168,7983.027794471,356.990065107,6733.378144484,16894.159170297,2723.725642278,2127.391712244,20448.412653996
6,0.078257501,2084.112116887,15404.602351262,1426.108351487,1190.503333459,6925.311693632,0.000000000,13962.190621229,3910.741925313,1296.631504352,0.000000000,3654.972355769,5688.446064289,0.000000000,5571.089956430,0.000000000,27889.408541166,27709.999323918,3961.603544089,3541.329089825,8648.164597731,9841.842255996,36314.211838942,8555.472474318,1310.554955116,3411.561023419,0.000000000,9113.281034029,11129.008277306,7463.241354135,2671.016081590,242.193016639,14315.560449527,0.000000000,10244.904860276,446.291554469,16548.970862755,20568.234255277,12839.282528217,11490.289932251,7310.264423077,8857.561091496,23988.072725736,2408.952304547,0.000000000,0.000000000,156.585601807,17126.522013738,16640.303734413,16932.952815129,37315.684870793,3750.370924730,3195.323047345,0.000000000,2454.789699995,1913.986952562,668.565371000,4584.435485840,13687.626485971,19160.792898233,15075.797447791,3409.513775165,0.000000000,9527.531503531,1886.009644728,9165.689922626,46964.417442909,62.116404607,1829.576171875,1317.390230619,18586.020957323,2769.360182542,14818.836158166,8296.920917218,9141.152469635,0.000000000,387.828201294,0.000000000,2505.810459944,2748.417583759,2951.252007118,2031.995704064,30819.589355469,38020.942687988,2.327620066,11406.220806415,3039.219322791,4403.547983023,15422.639310397,13729.673616556,18834.776125394,0.606414281,53244.380558894,17292.692102065,1914.774002075,22054.414554889,12131.096375685,20508.533471438,0.000000000,9129.139019306,38706.045973558,99.615487906,0.000000000,163.111780203,0.000000000,5806.165898846,10676.970952548,11401.464928260,6540.850773738,21187.209187728,15960.582782452,2118.343248514,16541.189772386
7,0.093909001,560.942876376,27999.207219050,1686.851986812,1865.964693510,6510.188528208,17.187471830,22424.972994291,19884.445678711,849.063915546,0.000000000,2012.740666316,7536.966719407,0.000000000,7323.558809721,0.000000000,8301.811110276,21999.038911159,4682.146223802,2038.000286396,6205.569415753,783.146695651,28477.392951378,9989.609414908,718.629221256,19077.480975811,0.000000000,30765.795393724,10003.445103279,17709.335392879,5135.465289776,0.000000000,5546.984047523,6655.285775992,11224.123553936,13843.744133582,13339.916447713,50599.700683594,6891.613225497,9849.465820312,0.000000000,0.000000000,22055.364393968,3449.127173791,485.854548528,0.000000000,1303.529974717,18488.504000150,19469.224871709,22263.632018016,53249.661884014,1463.578039903,880.613825871,0.000000000,1857.655274611,3352.401236040,14224.177583548,5826.128175002,9636.917722555,17321.078204815,14269.199352558,3092.063990666,0.000000000,10221.325923626,35.097892174,12211.617487981,36366.176804763,0.000000000,25460.396897536,2900.624778161,12329.751120347,1456.930887076,15591.351838332,4484.618685209,6572.797700148,0.000000000,2161.552082355,616.630976750,2196.937087426,2233.736248310,150.523122934,2394.797510881,13456.305006761,44069.797691932,1053.351459210,7709.339749850,2374.410504855,4220.811560998,15566.343449519,602.896415124,34915.342477652,0.000000000,25040.717623197,16058.426842323,99.372029818,29562.271911034,13188.237506573,6418.777360183,0.000000000,28870.852652623,23102.369569045,5772.973675068,14088.992253230,37.470602182,0.000000000,12175.860109769,8358.315640670,1928.210652535,5170.371840257,14372.599412184,1573.355323205,774.215924777,18975.515385554
8,0.109560501,3604.140531100,22372.089665340,2619.902120792,2874.744581956,13076.663592999,684.315155323,16063.596312303,9702.444224578,17546.857609675,0.000000000,1600.253737230,9499.012250644,0.000000000,7178.086794340,0.000000000,8954.111046424,18904.057187594,20959.997305063,1325.649308425,11335.570833646,1898.412161020,30398.841829740,9644.977672870,29.517967811,5980.761324369,3291.257011707,7543.213686430,21234.143930288,12485.585594764,6953.167856070,0.000000000,13986.099854430,1213.730853741,20129.262150691,19826.911378714,10774.953186622,18900.728237739,6626.891855093,10146.282085712,7655.358333001,24.538600041,30020.700345553,2671.657773531,0.000000000,0.000000000,6676.354597238,17880.973163311,17491.409416786,15998.575458233,53890.925837590,1211.921254085,6.269224607,0.000000000,722.885601631,1448.218991793,8132.879183256,6656.709711515,10336.500502366,16502.048556988,13220.686753493,13.519573505,0.000000000,7814.159490145,273.237427932,1342.518096924,34814.800546499,1.480458186,3902.680851863,2379.478659520,8401.418508676,3329.911266107,15864.227322725,4539.284072876,8060.486008864,0.000000000,0.000000000,4272.055250901,1533.732675406,959.389996749,0.000000000,1300.158336933,12629.570108267,43293.814379179,1159.710979462,4329.465482272,2886.883588351,3282.598764273,730.154975304,1626.452512301,20525.341284532,635.013744648,25938.299767127,5487.443874653,6923.560234657,17705.363166809,14988.347768930,17042.635310246,2772.961961013,12742.983574500,16486.012684162,0.000000000,3878.386305589,2189.105999286,0.000000000,10428.505528377,12504.369905912,15872.419370211,6383.845717210,10133.025606596,1090.374021090,0.000000000,14251.610426096
9,0.125212002,3280.456007737,31868.547767052,4544.032745843,3939.402287410,6290.836388221,830.669729380,16871.558382768,5634.341613770,2516.243301392,0.000000000,2250.832467886,10755.543579102,3880.571551983,7034.363022878,0.000000000,9096.771930108,21746.750291091,6056.150353065,1434.823373648,6586.556842511,4016.318519739,22612.269923284,12048.364890465,15.961538462,9648.054480919,455.032670241,8054.483647273,6443.654285137,10321.798199287,9194.534682054,0.000000000,9281.599214994,398.757156372,11231.412130503,20240.961415217,9283.307361126,17461.297316331,211.937661648,16811.757136418,187.681105394,7688.730648683,15332.392150879,1657.923968975,0.000000000,297.331284743,3936.730130709,18996.458440634,14391.103515625,27210.704589844,33890.308913011,885.643295288,129.922095666,0.000000000,84.079952533,738.773540790,20395.552558459,7185.271136944,15439.962201925,15627.836006165,12179.573437030,0.000000000,0.000000000,15525.413165753,6900.803232046,12498.069486178,46316.258702205,390.593315711,6467.859112079,5260.586348314,12518.509975433,5638.068216177,15971.009390024,15220.728928786,6246.052086463,0.000000000,0.000000000,10581.481105364,861.344355657,736.860127376,0.000000000,10071.922814002,13082.895169772,31203.678955078,3160.285466121,1850.573129507,4701.822468097,805.043050913,14748.265812800,2099.552884615,26778.376612737,335.652630146,24209.473015418,7573.841760048,0.620867362,19808.238018329,16590.943819486,2081.826068585,0.000000000,16517.142315204,20404.416879507,1200.700345553,2787.954481858,3578.146115817,0.000000000,26041.814978966,9174.366335355,11087.573765681,2954.487578172,4223.152289757,841.593928117,1012.872562042,18006.625600962
10,0.140863502,2795.591195913,32801.059666560,7501.598313552,4498.914485051,5414.301631634,3312.983083872,13186.384913518,12721.057283548,3195.317982600,0.000000000,3536.472731370,14915.265455980,0.000000000,6182.155748807,0.000000000,19216.158789415,15114.714099591,8150.379474346,2149.206580529,11501.792816749,5107.262516902,19985.128413274,14249.493140587,0.000000000,11751.489032452,2670.841435359,21145.619309645,5033.460580679,10106.824368990,13753.842867338,0.000000000,14976.974553035,935.548680232,25031.925330529,18843.334546603,9413.914870042,40892.627929688,34.434801487,8509.927546575,5867.562293419,2751.690786508,13557.397714468,416.286678608,10.124472985,4094.828173124,6304.367011877,17464.145038311,14049.837149987,14090.110595703,49953.732403095,557.089307345,0.000000000,0.000000000,0.000000000,204.889365563,22683.587881235,8720.883011451,9003.095365084,14681.475193317,12092.569270207,414.548166128,82.423159086,5686.958322378,0.000000000,13366.507192758,33880.390545185,2452.886418856,9466.666353666,3699.978694035,6708.893099271,6081.762969090,16009.664132925,4492.984686338,8091.119746282,0.000000000,0.000000000,12080.135035588,404.643915910,200.815054087,0.000000000,5294.809239314,12887.030780499,34365.264538105,6886.287060518,746.709735577,3243.107324454,0.000000000,7730.236525316,1299.027170035,26437.432598407,2189.977384127,20590.924319928,13431.907311073,635.748526940,14030.867740338,14638.314713111,482.521696824,0.000000000,19800.557002141,25562.830218975,4195.010042631,0.000000000,1334.363872822,12.890085954,27293.192739633,14883.447302011,19877.818928645,4802.643085186,1321.598764273,1122.085414006,0.000000000,12895.076392541
